Pais,TipoEnergia,Indicador,Anio,Valor_PJ,País,Precio elec. €/kWh,Consumo_kWh,Coste_estimado_€
France,"Coal, peat and oil shale",Total final consumption (PJ),2008,131.0,France,1208.0,36388888888.88889,43957777777777.78
France,"Crude, NGL and feedstocks",Total final consumption (PJ),2008,0.0,France,1208.0,0.0,0.0
France,Oil products,Total final consumption (PJ),2008,3161.0,France,1208.0,878055555555.5555,1060691111111111.1
France,Natural gas,Total final consumption (PJ),2008,1384.0,France,1208.0,384444444444.44446,464408888888888.9
France,Nuclear,Total final consumption (PJ),2008,0.0,France,1208.0,0.0,0.0
France,Renewables and waste,Total final consumption (PJ),2008,432.0,France,1208.0,120000000000.0,144960000000000.0
France,Electricity,Total final consumption (PJ),2008,1558.0,France,1208.0,432777777777.7778,522795555555555.56
France,Heat,Total final consumption (PJ),2008,152.0,France,1208.0,42222222222.22222,51004444444444.445
France,Total,Total final consumption (PJ),2008,6819.0,France,1208.0,1894166666666.6667,2288153333333333.5
Italy,"Coal, peat and oil shale",Total final consumption (PJ),2008,87.0,Italy,2129.0,24166666666.666668,51450833333333.336
Italy,"Crude, NGL and feedstocks",Total final consumption (PJ),2008,0.0,Italy,2129.0,0.0,0.0
Italy,Oil products,Total final consumption (PJ),2008,2526.0,Italy,2129.0,701666666666.6667,1493848333333333.5
Italy,Natural gas,Total final consumption (PJ),2008,1563.0,Italy,2129.0,434166666666.6667,924340833333333.4
Italy,Nuclear,Total final consumption (PJ),2008,0.0,Italy,2129.0,0.0,0.0
Italy,Renewables and waste,Total final consumption (PJ),2008,378.0,Italy,2129.0,105000000000.0,223545000000000.0
Italy,Electricity,Total final consumption (PJ),2008,1114.0,Italy,2129.0,309444444444.44446,658807222222222.2
Italy,Heat,Total final consumption (PJ),2008,133.0,Italy,2129.0,36944444444.44444,78654722222222.22
Italy,Total,Total final consumption (PJ),2008,5799.0,Italy,2129.0,1610833333333.3335,3429464166666667.0
France,"Coal, peat and oil shale",Total final consumption (PJ),2009,100.0,France,1206.5,27777777777.77778,33513888888888.89
France,"Crude, NGL and feedstocks",Total final consumption (PJ),2009,0.0,France,1206.5,0.0,0.0
France,Oil products,Total final consumption (PJ),2009,3041.0,France,1206.5,844722222222.2223,1019157361111111.2
France,Natural gas,Total final consumption (PJ),2009,1301.0,France,1206.5,361388888888.8889,436015694444444.5
France,Nuclear,Total final consumption (PJ),2009,0.0,France,1206.5,0.0,0.0
France,Renewables and waste,Total final consumption (PJ),2009,457.0,France,1206.5,126944444444.44446,153158472222222.25
France,Electricity,Total final consumption (PJ),2009,1505.0,France,1206.5,418055555555.5556,504384027777777.8
France,Heat,Total final consumption (PJ),2009,134.0,France,1206.5,37222222222.22222,44908611111111.11
France,Total,Total final consumption (PJ),2009,6538.0,France,1206.5,1816111111111.111,2191138055555555.5
Italy,"Coal, peat and oil shale",Total final consumption (PJ),2009,45.0,Italy,2047.5,12500000000.0,25593750000000.0
Italy,"Crude, NGL and feedstocks",Total final consumption (PJ),2009,0.0,Italy,2047.5,0.0,0.0
Italy,Oil products,Total final consumption (PJ),2009,2335.0,Italy,2047.5,648611111111.1111,1328031250000000.0
Italy,Natural gas,Total final consumption (PJ),2009,1534.0,Italy,2047.5,426111111111.11115,872462500000000.1
Italy,Nuclear,Total final consumption (PJ),2009,0.0,Italy,2047.5,0.0,0.0
Italy,Renewables and waste,Total final consumption (PJ),2009,389.0,Italy,2047.5,108055555555.55556,221243750000000.0
Italy,Electricity,Total final consumption (PJ),2009,1044.0,Italy,2047.5,290000000000.0,593775000000000.0
Italy,Heat,Total final consumption (PJ),2009,130.0,Italy,2047.5,36111111111.111115,73937500000000.0
Italy,Total,Total final consumption (PJ),2009,5476.0,Italy,2047.5,1521111111111.111,3114475000000000.0
France,"Coal, peat and oil shale",Total final consumption (PJ),2010,113.0,France,1316.5,31388888888.88889,41323472222222.23
France,"Crude, NGL and feedstocks",Total final consumption (PJ),2010,0.0,France,1316.5,0.0,0.0
France,Oil products,Total final consumption (PJ),2010,2984.0,France,1316.5,828888888888.8889,1091232222222222.2
France,Natural gas,Total final consumption (PJ),2010,1382.0,France,1316.5,383888888888.8889,505389722222222.25
France,Nuclear,Total final consumption (PJ),2010,0.0,France,1316.5,0.0,0.0
France,Renewables and waste,Total final consumption (PJ),2010,493.0,France,1316.5,136944444444.44446,180287361111111.12
France,Electricity,Total final consumption (PJ),2010,1599.0,France,1316.5,444166666666.6667,584745416666666.8
France,Heat,Total final consumption (PJ),2010,119.0,France,1316.5,33055555555.555557,43517638888888.89
France,Total,Total final consumption (PJ),2010,6689.0,France,1316.5,1858055555555.5557,2446130138888889.0
Italy,"Coal, peat and oil shale",Total final consumption (PJ),2010,79.0,Italy,1942.5,21944444444.444447,42627083333333.336
Italy,"Crude, NGL and feedstocks",Total final consumption (PJ),2010,0.0,Italy,1942.5,0.0,0.0
Italy,Oil products,Total final consumption (PJ),2010,2279.0,Italy,1942.5,633055555555.5555,1229710416666666.8
Italy,Natural gas,Total final consumption (PJ),2010,1636.0,Italy,1942.5,454444444444.44446,882758333333333.4
Italy,Nuclear,Total final consumption (PJ),2010,0.0,Italy,1942.5,0.0,0.0
Italy,Renewables and waste,Total final consumption (PJ),2010,389.0,Italy,1942.5,108055555555.55556,209897916666666.66
Italy,Electricity,Total final consumption (PJ),2010,1078.0,Italy,1942.5,299444444444.44446,581670833333333.4
Italy,Heat,Total final consumption (PJ),2010,140.0,Italy,1942.5,38888888888.88889,75541666666666.67
Italy,Total,Total final consumption (PJ),2010,5600.0,Italy,1942.5,1555555555555.5557,3021666666666667.0
France,"Coal, peat and oil shale",Total final consumption (PJ),2011,111.0,France,1402.5,30833333333.333336,43243750000000.0
France,"Crude, NGL and feedstocks",Total final consumption (PJ),2011,0.0,France,1402.5,0.0,0.0
France,Oil products,Total final consumption (PJ),2011,2986.0,France,1402.5,829444444444.4445,1163295833333333.2
France,Natural gas,Total final consumption (PJ),2011,1303.0,France,1402.5,361944444444.44446,507627083333333.4
France,Nuclear,Total final consumption (PJ),2011,0.0,France,1402.5,0.0,0.0
France,Renewables and waste,Total final consumption (PJ),2011,442.0,France,1402.5,122777777777.77779,172195833333333.34
France,Electricity,Total final consumption (PJ),2011,1528.0,France,1402.5,424444444444.44446,595283333333333.4
France,Heat,Total final consumption (PJ),2011,121.0,France,1402.5,33611111111.111115,47139583333333.336
France,Total,Total final consumption (PJ),2011,6492.0,France,1402.5,1803333333333.3335,2529175000000000.0
Italy,"Coal, peat and oil shale",Total final consumption (PJ),2011,95.0,Italy,2026.0,26388888888.88889,53463888888888.89
Italy,"Crude, NGL and feedstocks",Total final consumption (PJ),2011,0.0,Italy,2026.0,0.0,0.0
Italy,Oil products,Total final consumption (PJ),2011,2246.0,Italy,2026.0,623888888888.8889,1263998888888889.0
Italy,Natural gas,Total final consumption (PJ),2011,1506.0,Italy,2026.0,418333333333.3334,847543333333333.4
Italy,Nuclear,Total final consumption (PJ),2011,0.0,Italy,2026.0,0.0,0.0
Italy,Renewables and waste,Total final consumption (PJ),2011,284.0,Italy,2026.0,78888888888.88889,159828888888888.88
Italy,Electricity,Total final consumption (PJ),2011,1087.0,Italy,2026.0,301944444444.44446,611739444444444.5
Italy,Heat,Total final consumption (PJ),2011,134.0,Italy,2026.0,37222222222.22222,75412222222222.22
Italy,Total,Total final consumption (PJ),2011,5352.0,Italy,2026.0,1486666666666.6667,3011986666666667.0
France,"Coal, peat and oil shale",Total final consumption (PJ),2012,99.0,France,1446.5,27500000000.0,39778750000000.0
France,"Crude, NGL and feedstocks",Total final consumption (PJ),2012,0.0,France,1446.5,0.0,0.0
France,Oil products,Total final consumption (PJ),2012,2958.0,France,1446.5,821666666666.6667,1188540833333333.5
France,Natural gas,Total final consumption (PJ),2012,1383.0,France,1446.5,384166666666.6667,555697083333333.4
France,Nuclear,Total final consumption (PJ),2012,0.0,France,1446.5,0.0,0.0
France,Renewables and waste,Total final consumption (PJ),2012,499.0,France,1446.5,138611111111.1111,200500972222222.22
France,Electricity,Total final consumption (PJ),2012,1598.0,France,1446.5,443888888888.8889,642085277777777.9
France,Heat,Total final consumption (PJ),2012,128.0,France,1446.5,35555555555.55556,51431111111111.12
