pais,indicador,anio,coalPeatAndOilShale,naturalGas,nuclear,oilProducts,renewablesAndWaste,total
espana,productionPj,2008,176.0,1.0,643.0,0.0,445.0,1265.0
espana,productionPj,2009,160.0,1.0,576.0,0.0,536.0,1273.0
espana,productionPj,2010,138.0,2.0,676.0,0.0,626.0,1442.0
espana,productionPj,2011,111.0,2.0,630.0,0.0,599.0,1342.0
espana,productionPj,2012,103.0,2.0,671.0,0.0,626.0,1402.0
espana,productionPj,2013,74.0,2.0,619.0,0.0,749.0,1444.0
espana,productionPj,2014,68.0,1.0,625.0,0.0,769.0,1463.0
espana,productionPj,2015,52.0,2.0,624.0,0.0,723.0,1401.0
espana,productionPj,2016,31.0,2.0,640.0,0.0,740.0,1413.0
espana,productionPj,2017,47.0,1.0,633.0,0.0,709.0,1390.0
espana,productionPj,2018,37.0,3.0,608.0,0.0,757.0,1405.0
espana,productionPj,2019,0.0,5.0,637.0,0.0,772.0,1414.0
espana,productionPj,2020,0.0,2.0,636.0,0.0,804.0,1442.0
espana,productionPj,2021,0.0,1.0,617.0,0.0,827.0,1445.0
espana,productionPj,2022,0.0,1.0,639.0,0.0,813.0,1453.0
espana,totalFinalConsumptionPj,2008,55.0,631.0,0.0,2309.0,184.0,3179.0
espana,totalFinalConsumptionPj,2009,35.0,560.0,0.0,2135.0,214.0,2944.0
espana,totalFinalConsumptionPj,2010,37.0,621.0,0.0,2092.0,231.0,2981.0
espana,totalFinalConsumptionPj,2011,46.0,607.0,0.0,1940.0,250.0,2843.0
espana,totalFinalConsumptionPj,2012,31.0,628.0,0.0,1751.0,270.0,2680.0
espana,totalFinalConsumptionPj,2013,40.0,639.0,0.0,1669.0,217.0,2565.0
espana,totalFinalConsumptionPj,2014,26.0,619.0,0.0,1611.0,220.0,2476.0
espana,totalFinalConsumptionPj,2015,22.0,559.0,0.0,1683.0,228.0,2492.0
espana,totalFinalConsumptionPj,2016,23.0,578.0,0.0,1758.0,223.0,2582.0
espana,totalFinalConsumptionPj,2017,37.0,586.0,0.0,1792.0,233.0,2648.0
espana,totalFinalConsumptionPj,2018,31.0,619.0,0.0,1833.0,252.0,2735.0
espana,totalFinalConsumptionPj,2019,27.0,625.0,0.0,1836.0,256.0,2744.0
espana,totalFinalConsumptionPj,2020,27.0,597.0,0.0,1570.0,239.0,2433.0
espana,totalFinalConsumptionPj,2021,27.0,642.0,0.0,1730.0,242.0,2641.0
espana,totalFinalConsumptionPj,2022,29.0,549.0,0.0,1777.0,246.0,2601.0
francia,productionPj,2008,7.0,34.0,4794.0,0.0,818.0,5653.0
francia,productionPj,2009,4.0,32.0,4470.0,0.0,832.0,5338.0
francia,productionPj,2010,7.0,27.0,4675.0,0.0,920.0,5629.0
francia,productionPj,2011,4.0,21.0,4826.0,0.0,819.0,5670.0
francia,productionPj,2012,8.0,19.0,4641.0,0.0,960.0,5628.0
francia,productionPj,2013,8.0,12.0,4622.0,0.0,1054.0,5696.0
francia,productionPj,2014,8.0,1.0,4762.0,0.0,978.0,5749.0
francia,productionPj,2015,0.0,1.0,4772.0,0.0,1008.0,5781.0
francia,productionPj,2016,0.0,1.0,4398.0,0.0,1065.0,5464.0
francia,productionPj,2017,0.0,1.0,4346.0,0.0,1028.0,5375.0
francia,productionPj,2018,,0.0,4505.0,0.0,1117.0,5622.0
francia,productionPj,2019,,1.0,4353.0,0.0,1119.0,5473.0
francia,productionPj,2020,,1.0,3860.0,0.0,1121.0,4982.0
francia,productionPj,2021,,1.0,4138.0,0.0,1150.0,5289.0
francia,productionPj,2022,,1.0,3215.0,0.0,1105.0,4321.0
francia,totalFinalConsumptionPj,2008,131.0,1384.0,0.0,3161.0,432.0,5108.0
francia,totalFinalConsumptionPj,2009,100.0,1301.0,0.0,3041.0,457.0,4899.0
francia,totalFinalConsumptionPj,2010,113.0,1382.0,0.0,2984.0,493.0,4972.0
francia,totalFinalConsumptionPj,2011,111.0,1303.0,0.0,2986.0,442.0,4842.0
francia,totalFinalConsumptionPj,2012,99.0,1383.0,0.0,2958.0,499.0,4939.0
francia,totalFinalConsumptionPj,2013,103.0,1437.0,0.0,2941.0,533.0,5014.0
francia,totalFinalConsumptionPj,2014,103.0,1215.0,0.0,2893.0,481.0,4692.0
francia,totalFinalConsumptionPj,2015,95.0,1247.0,0.0,2895.0,504.0,4741.0
francia,totalFinalConsumptionPj,2016,107.0,1308.0,0.0,2830.0,536.0,4781.0
francia,totalFinalConsumptionPj,2017,85.0,1274.0,0.0,2863.0,527.0,4749.0
francia,totalFinalConsumptionPj,2018,62.0,1252.0,0.0,2760.0,532.0,4606.0
francia,totalFinalConsumptionPj,2019,51.0,1230.0,0.0,2750.0,539.0,4570.0
francia,totalFinalConsumptionPj,2020,45.0,1150.0,0.0,2445.0,486.0,4126.0
francia,totalFinalConsumptionPj,2021,125.0,1251.0,0.0,2641.0,539.0,4556.0
francia,totalFinalConsumptionPj,2022,108.0,1070.0,0.0,2547.0,518.0,4243.0
italia,productionPj,2008,3.0,317.0,0.0,0.0,818.0,1138.0
italia,productionPj,2009,2.0,275.0,0.0,0.0,841.0,1118.0
italia,productionPj,2010,3.0,288.0,0.0,0.0,856.0,1147.0
italia,productionPj,2011,2.0,290.0,0.0,0.0,811.0,1103.0
italia,productionPj,2012,2.0,295.0,0.0,0.0,931.0,1228.0
italia,productionPj,2013,2.0,265.0,0.0,0.0,1032.0,1299.0
italia,productionPj,2014,2.0,245.0,0.0,0.0,1038.0,1285.0
italia,productionPj,2015,2.0,232.0,0.0,0.0,1035.0,1269.0
italia,productionPj,2016,0.0,198.0,0.0,0.0,1036.0,1234.0
italia,productionPj,2017,0.0,190.0,0.0,0.0,1048.0,1238.0
italia,productionPj,2018,0.0,187.0,0.0,0.0,1055.0,1242.0
italia,productionPj,2019,0.0,165.0,0.0,0.0,1079.0,1244.0
italia,productionPj,2020,0.0,138.0,0.0,0.0,1083.0,1221.0
italia,productionPj,2021,0.0,109.0,0.0,0.0,1115.0,1224.0
italia,productionPj,2022,0.0,107.0,0.0,0.0,1029.0,1136.0
italia,totalFinalConsumptionPj,2008,87.0,1563.0,0.0,2526.0,378.0,4554.0
italia,totalFinalConsumptionPj,2009,45.0,1534.0,0.0,2335.0,389.0,4303.0
italia,totalFinalConsumptionPj,2010,79.0,1636.0,0.0,2279.0,389.0,4383.0
italia,totalFinalConsumptionPj,2011,95.0,1506.0,0.0,2246.0,284.0,4131.0
italia,totalFinalConsumptionPj,2012,95.0,1500.0,0.0,2073.0,371.0,4039.0
italia,totalFinalConsumptionPj,2013,68.0,1494.0,0.0,1948.0,368.0,3878.0
italia,totalFinalConsumptionPj,2014,58.0,1315.0,0.0,2003.0,323.0,3699.0
italia,totalFinalConsumptionPj,2015,40.0,1405.0,0.0,1974.0,361.0,3780.0
italia,totalFinalConsumptionPj,2016,40.0,1419.0,0.0,1931.0,348.0,3738.0
italia,totalFinalConsumptionPj,2017,30.0,1448.0,0.0,1903.0,373.0,3754.0
italia,totalFinalConsumptionPj,2018,35.0,1434.0,0.0,1921.0,361.0,3751.0
italia,totalFinalConsumptionPj,2019,34.0,1410.0,0.0,1896.0,364.0,3704.0
italia,totalFinalConsumptionPj,2020,30.0,1359.0,0.0,1600.0,356.0,3345.0
italia,totalFinalConsumptionPj,2021,38.0,1560.0,0.0,1839.0,400.0,3837.0
italia,totalFinalConsumptionPj,2022,33.0,1345.0,0.0,1922.0,372.0,3672.0
