Pais,TipoEnergia,Indicador,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,
France,"Coal, peat and oil shale",Production (PJ),7,4,7,4,8,8,8,0,0,0,c,c,c,c,c,
France,"Coal, peat and oil shale",Total final consumption (PJ),131,100,113,111,99,103,103,95,107,85,62,51,45,125,108,
France,"Coal, peat and oil shale",Other final consumption (PJ),6,4,4,12,11,11,15,13,13,13,14,11,10,12,11,
France,"Crude, NGL and feedstocks",Production (PJ),54,48,46,47,42,44,43,44,41,40,38,40,34,35,33,
France,"Crude, NGL and feedstocks",Total final consumption (PJ),0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
France,"Crude, NGL and feedstocks",Other final consumption (PJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
France,Oil products,Production (PJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
France,Oil products,Imports (PJ),1512,1632,1703,1732,1871,1829,1850,1828,1759,1750,1793,1909,1829,1919,1729,
France,Oil products,Exports (PJ),-1299,-1068,-965,-882,-828,-798,-805,-891,-873,-860,-848,-728,-535,-528,-579,
France,Oil products,Total energy supply (PJ),-119,245,420,490,744,714,722,620,574,578,621,853,1135,1265,910,
France,Oil products,"Electricity, CHP and heat plants (PJ)",-74,-75,-81,-95,-90,-74,-72,-70,-72,-72,-60,-62,-60,-61,-65,
France,Oil products,"Oil refineries, transformation (PJ)",3748,3319,3033,3068,2618,2482,2489,2571,2533,2535,2377,2169,1576,1544,1801,
France,Oil products,Total final consumption (PJ),3161,3041,2984,2986,2958,2941,2893,2895,2830,2863,2760,2750,2445,2641,2547,
France,Oil products,Industry (PJ),145,130,120,140,133,131,123,119,112,103,103,103,99,96,101,
France,Oil products,Transport (PJ),1702,1682,1685,1747,1730,1716,1717,1735,1742,1751,1714,1711,1443,1619,1682,
France,Oil products,Residential (PJ),356,345,321,260,270,277,227,232,216,216,195,182,174,172,147,
France,Oil products,Commercial and public services (PJ),160,155,143,116,120,120,107,114,105,110,100,99,93,87,61,
France,Oil products,Other final consumption (PJ),797,728,714,723,706,698,718,695,655,683,648,655,635,666,557,
France,Natural gas,Production (PJ),34,32,27,21,19,12,1,1,1,1,0,1,1,1,1,
France,Natural gas,Imports (PJ),1679,1705,1763,1843,1773,1780,1583,1570,1647,1727,1750,1983,1688,1691,2072,
France,Natural gas,Exports (PJ),-46,-81,-107,-243,-225,-189,-166,-125,-60,-147,-135,-341,-304,-201,-555,
France,Natural gas,Total energy supply (PJ),1670,1610,1784,1549,1600,1625,1365,1467,1603,1612,1542,1572,1461,1549,1391,
France,Natural gas,"Electricity, CHP and heat plants (PJ)",-235,-292,-311,-248,-216,-176,-129,-188,-273,-305,-242,-300,-275,-265,-327,
France,Natural gas,"Oil refineries, transformation (PJ)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
France,Natural gas,Total final consumption (PJ),1384,1301,1382,1303,1383,1437,1215,1247,1308,1274,1252,1230,1150,1251,1070,
France,Natural gas,Industry (PJ),536,402,467,500,490,506,473,455,469,441,434,427,385,426,387,
France,Natural gas,Transport (PJ),1,1,1,4,4,4,5,5,5,6,7,7,8,11,13,
France,Natural gas,Residential (PJ),586,594,581,532,588,607,454,489,529,514,487,478,467,489,398,
France,Natural gas,Commercial and public services (PJ),202,251,283,218,249,268,230,245,249,257,268,262,240,272,227,
France,Natural gas,Other final consumption (PJ),59,53,50,49,51,52,53,54,56,56,57,56,51,52,44,
France,Nuclear,Production (PJ),4794,4470,4675,4826,4641,4622,4762,4772,4398,4346,4505,4353,3860,4138,3215,
France,Nuclear,Imports (PJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
France,Nuclear,Exports (PJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
France,Nuclear,Total energy supply (PJ),4794,4470,4675,4826,4641,4622,4762,4772,4398,4346,4505,4353,3860,4138,3215,
France,Nuclear,"Electricity, CHP and heat plants (PJ)",-4794,-4470,-4675,-4826,-4641,-4622,-4762,-4772,-4398,-4346,-4505,-4353,-3860,-4138,-3215,
France,Nuclear,"Oil refineries, transformation (PJ)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
France,Nuclear,Total final consumption (PJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
France,Nuclear,Industry (PJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
