Pais,TipoEnergia,Indicador,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Unnamed: 18
France,"Coal, peat and oil shale",Production (PJ),7.0,4.0,7.0,4.0,8.0,8.0,8.0,0.0,0.0,0.0,c,c,c,c,c,
France,"Coal, peat and oil shale",Total final consumption (PJ),131.0,100.0,113.0,111.0,99.0,103.0,103.0,95.0,107.0,85.0,62,51,45,125,108,
France,"Crude, NGL and feedstocks",Production (PJ),54.0,48.0,46.0,47.0,42.0,44.0,43.0,44.0,41.0,40.0,38,40,34,35,33,
France,"Crude, NGL and feedstocks",Total final consumption (PJ),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,
France,Oil products,Production (PJ),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,
France,Oil products,Total final consumption (PJ),3161.0,3041.0,2984.0,2986.0,2958.0,2941.0,2893.0,2895.0,2830.0,2863.0,2760,2750,2445,2641,2547,
France,Natural gas,Production (PJ),34.0,32.0,27.0,21.0,19.0,12.0,1.0,1.0,1.0,1.0,0,1,1,1,1,
France,Natural gas,Total final consumption (PJ),1384.0,1301.0,1382.0,1303.0,1383.0,1437.0,1215.0,1247.0,1308.0,1274.0,1252,1230,1150,1251,1070,
France,Nuclear,Production (PJ),4794.0,4470.0,4675.0,4826.0,4641.0,4622.0,4762.0,4772.0,4398.0,4346.0,4505,4353,3860,4138,3215,
France,Nuclear,Total final consumption (PJ),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,
France,Renewables and waste,Production (PJ),818.0,832.0,920.0,819.0,960.0,1054.0,978.0,1008.0,1065.0,1028.0,1117,1119,1121,1150,1105,
France,Renewables and waste,Total final consumption (PJ),432.0,457.0,493.0,442.0,499.0,533.0,481.0,504.0,536.0,527.0,532,539,486,539,518,
France,Electricity,Production (PJ),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,
France,Electricity,Total final consumption (PJ),1558.0,1505.0,1599.0,1528.0,1598.0,1623.0,1531.0,1566.0,1594.0,1582.0,1574,1554,1481,1559,1493,
France,Heat,Production (PJ),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,2,
France,Heat,Total final consumption (PJ),152.0,134.0,119.0,121.0,128.0,133.0,117.0,130.0,145.0,150.0,147,155,150,173,167,
France,Total,Production (PJ),5707.0,5385.0,5674.0,5717.0,5670.0,5740.0,5791.0,5826.0,5506.0,5414.0,5661,5513,5017,5326,4356,
France,Total,Total final consumption (PJ),6819.0,6538.0,6689.0,6492.0,6665.0,6771.0,6339.0,6437.0,6520.0,6481.0,6328,6279,5758,6289,5903,..
Spain,"Coal, peat and oil shale",Production (PJ),176.0,160.0,138.0,111.0,103.0,74.0,68.0,52.0,31.0,47.0,37,0,0,0,0,
Spain,"Coal, peat and oil shale",Total final consumption (PJ),55.0,35.0,37.0,46.0,31.0,40.0,26.0,22.0,23.0,37.0,31,27,27,27,29,
Spain,"Crude, NGL and feedstocks",Production (PJ),5.0,4.0,5.0,4.0,6.0,16.0,13.0,10.0,6.0,5.0,4,2,1,0,0,
Spain,"Crude, NGL and feedstocks",Total final consumption (PJ),1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,
Spain,Oil products,Production (PJ),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,
Spain,Oil products,Total final consumption (PJ),2309.0,2135.0,2092.0,1940.0,1751.0,1669.0,1611.0,1683.0,1758.0,1792.0,1833,1836,1570,1730,1777,
Spain,Natural gas,Production (PJ),1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,3,5,2,1,1,
Spain,Natural gas,Total final consumption (PJ),631.0,560.0,621.0,607.0,628.0,639.0,619.0,559.0,578.0,586.0,619,625,597,642,549,
Spain,Nuclear,Production (PJ),643.0,576.0,676.0,630.0,671.0,619.0,625.0,624.0,640.0,633.0,608,637,636,617,639,
Spain,Nuclear,Total final consumption (PJ),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,
Spain,Renewables and waste,Production (PJ),445.0,536.0,626.0,599.0,626.0,749.0,769.0,723.0,740.0,709.0,757,772,804,827,813,
Spain,Renewables and waste,Total final consumption (PJ),184.0,214.0,231.0,250.0,270.0,217.0,220.0,228.0,223.0,233.0,252,256,239,242,246,
Spain,Electricity,Production (PJ),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,
Spain,Electricity,Total final consumption (PJ),918.0,863.0,881.0,877.0,865.0,828.0,817.0,835.0,837.0,861.0,858,844,791,820,808,
Spain,Heat,Production (PJ),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,
Spain,Heat,Total final consumption (PJ),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,
Spain,Total,Production (PJ),1270.0,1276.0,1447.0,1345.0,1408.0,1459.0,1476.0,1411.0,1419.0,1396.0,1409,1415,1443,1446,1454,
Spain,Total,Total final consumption (PJ),4098.0,3808.0,3862.0,3720.0,3545.0,3395.0,3293.0,3327.0,3419.0,3509.0,3594,3588,3224,3462,3409,
Italy,"Coal, peat and oil shale",Production (PJ),3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0,0,0,0,0,
Italy,"Coal, peat and oil shale",Total final consumption (PJ),87.0,45.0,79.0,95.0,95.0,68.0,58.0,40.0,40.0,30.0,35,34,30,38,33,
Italy,"Crude, NGL and feedstocks",Production (PJ),239.0,208.0,235.0,235.0,236.0,241.0,250.0,242.0,169.0,187.0,213,197,245,219,202,
