Fecha,Precio elec. sin imp. €/kWh,Precio elec. €/kWh,País
Junio 2024,2451.0,3274,italia
Diciembre 2023,2565.0,3347,italia
Junio 2023,3230.0,3782,italia
Diciembre 2022,3192.0,3641,italia
Junio 2022,2671.0,3115,italia
Diciembre 2021,1760.0,2360,italia
Junio 2021,1432.0,2259,italia
Diciembre 2020,1331.0,2153,italia
Junio 2020,1382.0,2226,italia
Diciembre 2019,1427.0,2341,italia
Junio 2019,1432.0,2301,italia
Diciembre 2018,1416.0,2161,italia
Junio 2018,1285.0,2067,italia
Diciembre 2017,1326.0,2080,italia
Junio 2017,1322.0,2132,italia
Diciembre 2016,1342.0,2261,italia
Junio 2016,1376.0,2342,italia
Diciembre 2015,1479.0,2428,italia
Junio 2015,1507.0,2450,italia
Diciembre 2014,1468.0,2338,italia
Junio 2014,1539.0,2446,italia
Diciembre 2013,1501.0,2323,italia
Junio 2013,1498.0,2292,italia
Diciembre 2012,1525.0,2297,italia
Junio 2012,1445.0,2132,italia
Diciembre 2011,1412.0,2065,italia
Junio 2011,1397.0,1987,italia
Diciembre 2010,1387.0,1920,italia
Junio 2010,,1965,italia
Diciembre 2009,,1997,italia
Junio 2009,,2098,italia
Diciembre 2008,,2227,italia
Junio 2008,,2031,italia
Junio 2024,2187.0,2776,francia
Diciembre 2023,2161.0,2591,francia
Junio 2023,1893.0,2300,francia
Diciembre 2022,1723.0,2204,francia
Junio 2022,1566.0,2092,francia
Diciembre 2021,1356.0,2022,francia
Junio 2021,1289.0,1946,francia
Diciembre 2020,1292.0,1958,francia
Junio 2020,1242.0,1893,francia
Diciembre 2019,1260.0,1913,francia
Junio 2019,1148.0,1778,francia
Diciembre 2018,1168.0,1799,francia
Junio 2018,1134.0,1748,francia
Diciembre 2017,1132.0,1756,francia
Junio 2017,1089.0,1704,francia
Diciembre 2016,1106.0,1711,francia
Junio 2016,1087.0,1685,francia
Diciembre 2015,1113.0,1682,francia
Junio 2015,1111.0,1676,francia
Diciembre 2014,1164.0,1702,francia
Junio 2014,1064.0,1585,francia
Diciembre 2013,1105.0,1596,francia
Junio 2013,1051.0,1524,francia
Diciembre 2012,1070.0,1501,francia
Junio 2012,986.0,1392,francia
Diciembre 2011,1017.0,1422,francia
Junio 2011,994.0,1383,francia
Diciembre 2010,995.0,1350,francia
Junio 2010,940.0,1283,francia
Diciembre 2009,908.0,1207,francia
Junio 2009,908.0,1206,francia
Diciembre 2008,910.0,1203,francia
Junio 2008,914.0,1213,francia
Diciembre 2007,924.0,1222,francia
Junio 2024,1841.0,2436,espana
Diciembre 2023,2068.0,2347,espana
Junio 2023,2165.0,2454,espana
Diciembre 2022,2966.0,3350,espana
Junio 2022,2579.0,3071,espana
Diciembre 2021,1878.0,2816,espana
Junio 2021,1358.0,2323,espana
Diciembre 2020,1260.0,2298,espana
Junio 2020,1178.0,2239,espana
Diciembre 2019,1287.0,2394,espana
Junio 2019,1326.0,2403,espana
Diciembre 2018,1947.0,2477,espana
Junio 2018,1873.0,2383,espana
Diciembre 2017,1712.0,2177,espana
Junio 2017,1805.0,2296,espana
Diciembre 2016,1796.0,2284,espana
Junio 2016,1718.0,2185,espana
Diciembre 2015,1864.0,2370,espana
Junio 2015,1815.0,2309,espana
Diciembre 2014,1861.0,2367,espana
Junio 2014,1702.0,2165,espana
Diciembre 2013,1787.0,2273,espana
Junio 2013,1752.0,2228,espana
Diciembre 2012,1789.0,2275,espana
Junio 2012,1766.0,2190,espana
Diciembre 2011,1684.0,2088,espana
Junio 2011,1597.0,1981,espana
Diciembre 2010,1492.0,1851,espana
Junio 2010,1417.0,1728,espana
Diciembre 2009,1381.0,1684,espana
Junio 2009,1294.0,1577,espana
Diciembre 2008,1277.0,1557,espana
Junio 2008,1124.0,1366,espana
Diciembre 2007,1152.0,1400,espana
